entity_id,state,last_changed
sensor.multisensor_raw_air_quality,318.7796,2025-09-12T06:07:01.537Z
sensor.multisensor_raw_air_quality,317.7929,2025-09-12T06:12:01.660Z
sensor.multisensor_raw_air_quality,318.3419,2025-09-12T06:17:01.551Z
sensor.multisensor_raw_air_quality,318.0132,2025-09-12T06:22:01.570Z
sensor.multisensor_raw_air_quality,317.1296,2025-09-12T06:27:01.567Z
sensor.multisensor_raw_air_quality,317.7929,2025-09-12T06:32:01.550Z
sensor.multisensor_raw_air_quality,317.6826,2025-09-12T06:37:01.545Z
sensor.multisensor_raw_air_quality,316.797,2025-09-12T06:42:01.710Z
sensor.multisensor_raw_air_quality,316.6847,2025-09-12T06:47:01.594Z
sensor.multisensor_raw_air_quality,317.1296,2025-09-12T06:52:01.549Z
sensor.multisensor_raw_air_quality,317.2408,2025-09-12T06:57:01.582Z
sensor.multisensor_raw_air_quality,317.7929,2025-09-12T07:07:01.576Z
sensor.multisensor_raw_air_quality,316.797,2025-09-12T07:12:01.693Z
sensor.multisensor_raw_air_quality,317.2408,2025-09-12T07:17:01.584Z
sensor.multisensor_raw_air_quality,316.1265,2025-09-12T07:22:01.584Z
sensor.multisensor_raw_air_quality,317.2408,2025-09-12T07:27:01.586Z
sensor.multisensor_raw_air_quality,316.0143,2025-09-12T07:32:01.569Z
sensor.multisensor_raw_air_quality,316.35,2025-09-12T07:37:01.598Z
sensor.multisensor_raw_air_quality,316.1265,2025-09-12T07:42:01.569Z
sensor.multisensor_raw_air_quality,315.9021,2025-09-12T07:47:01.586Z
sensor.multisensor_raw_air_quality,317.0184,2025-09-12T07:52:01.589Z
sensor.multisensor_raw_air_quality,316.4622,2025-09-12T07:57:01.607Z
sensor.multisensor_raw_air_quality,317.2408,2025-09-12T08:02:01.583Z
sensor.multisensor_raw_air_quality,317.4623,2025-09-12T08:07:01.627Z
sensor.multisensor_raw_air_quality,317.2408,2025-09-12T08:17:01.653Z
sensor.multisensor_raw_air_quality,316.4622,2025-09-12T08:22:01.591Z
sensor.multisensor_raw_air_quality,316.797,2025-09-12T08:27:01.609Z
